code_commune_INSEE,nom_commune_postal,code_postal,libelle_acheminement,ligne_5,latitude,longitude,code_commune,article,nom_commune,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
1001,L ABERGEMENT CLEMENCIAT,1400,L ABERGEMENT CLEMENCIAT,,46.1534255214,4.92611354223,1,L',Abergement-Clémenciat,L'Abergement-Clémenciat,1,Ain,84,Auvergne-Rhône-Alpes
1002,L ABERGEMENT DE VAREY,1640,L ABERGEMENT DE VAREY,,46.0091878776,5.42801696363,2,L',Abergement-de-Varey,L'Abergement-de-Varey,1,Ain,84,Auvergne-Rhône-Alpes
1004,AMBERIEU EN BUGEY,1500,AMBERIEU EN BUGEY,,45.9608475114,5.3729257777,4,,Ambérieu-en-Bugey,Ambérieu-en-Bugey,1,Ain,84,Auvergne-Rhône-Alpes
1005,AMBERIEUX EN DOMBES,1330,AMBERIEUX EN DOMBES,,45.9961799872,4.91227250796,5,,Ambérieux-en-Dombes,Ambérieux-en-Dombes,1,Ain,84,Auvergne-Rhône-Alpes
1006,AMBLEON,1300,AMBLEON,,45.7494989044,5.59432017366,6,,Ambléon,Ambléon,1,Ain,84,Auvergne-Rhône-Alpes
1007,AMBRONAY,1500,AMBRONAY,,46.0055913782,5.35760660735,7,,Ambronay,Ambronay,1,Ain,84,Auvergne-Rhône-Alpes
1008,AMBUTRIX,1500,AMBUTRIX,,45.9367134524,5.3328092349,8,,Ambutrix,Ambutrix,1,Ain,84,Auvergne-Rhône-Alpes
1009,ANDERT ET CONDON,1300,ANDERT ET CONDON,,45.7873565333,5.65788307924,9,,Andert-et-Condon,Andert-et-Condon,1,Ain,84,Auvergne-Rhône-Alpes
1010,ANGLEFORT,1350,ANGLEFORT,,45.9093715116,5.79516005674,10,,Anglefort,Anglefort,1,Ain,84,Auvergne-Rhône-Alpes
1011,APREMONT,1100,APREMONT,,46.2054981558,5.65781475272,11,,Apremont,Apremont,1,Ain,84,Auvergne-Rhône-Alpes
1012,ARANC,1110,ARANC,,46.0015344029,5.51130637511,12,,Aranc,Aranc,1,Ain,84,Auvergne-Rhône-Alpes
1013,ARANDAS,1230,ARANDAS,,45.8908155275,5.49870439091,13,,Arandas,Arandas,1,Ain,84,Auvergne-Rhône-Alpes
1014,ARBENT,1100,ARBENT,,46.2834936005,5.69061651221,14,,Arbent,Arbent,1,Ain,84,Auvergne-Rhône-Alpes
1015,ARBOYS EN BUGEY,1300,ARBOYS EN BUGEY,ARBIGNIEU,45.7237621545,5.65263086429,15,,Arboys en Bugey,Arboys en Bugey,1,Ain,84,Auvergne-Rhône-Alpes
1015,ARBOYS EN BUGEY,1300,ARBOYS EN BUGEY,ST BOIS,45.7237621545,5.65263086429,15,,Arboys en Bugey,Arboys en Bugey,1,Ain,84,Auvergne-Rhône-Alpes
1016,ARBIGNY,1190,ARBIGNY,,46.4776762988,4.9599416863,16,,Arbigny,Arbigny,1,Ain,84,Auvergne-Rhône-Alpes
1017,ARGIS,1230,ARGIS,,45.9337182132,5.48251100314,17,,Argis,Argis,1,Ain,84,Auvergne-Rhône-Alpes
1019,ARMIX,1510,ARMIX,,45.8541838459,5.58357838695,19,,Armix,Armix,1,Ain,84,Auvergne-Rhône-Alpes
1021,ARS SUR FORMANS,1480,ARS SUR FORMANS,,45.9934611,4.82199649494,21,,Ars-sur-Formans,Ars-sur-Formans,1,Ain,84,Auvergne-Rhône-Alpes
1022,ARTEMARE,1510,ARTEMARE,,45.8695891748,5.69065283943,22,,Artemare,Artemare,1,Ain,84,Auvergne-Rhône-Alpes
1023,ASNIERES SUR SAONE,1570,ASNIERES SUR SAONE,,46.3857281418,4.88387478623,23,,Asnières-sur-Saône,Asnières-sur-Saône,1,Ain,84,Auvergne-Rhône-Alpes
1024,ATTIGNAT,1340,ATTIGNAT,,46.2861802203,5.1795233845,24,,Attignat,Attignat,1,Ain,84,Auvergne-Rhône-Alpes
1025,BAGE LA VILLE,1380,BAGE LA VILLE,,46.3233203302,4.9528678933,25,,Bâgé-Dommartin,Bâgé-Dommartin,1,Ain,84,Auvergne-Rhône-Alpes
1026,BAGE LE CHATEL,1380,BAGE LE CHATEL,,46.3077069231,4.92862084189,26,,Bâgé-le-Châtel,Bâgé-le-Châtel,1,Ain,84,Auvergne-Rhône-Alpes
1027,BALAN,1360,BALAN,,45.8311226453,5.10780019249,27,,Balan,Balan,1,Ain,84,Auvergne-Rhône-Alpes
1028,BANEINS,1990,BANEINS,,46.1141214445,4.90146475101,28,,Baneins,Baneins,1,Ain,84,Auvergne-Rhône-Alpes
1029,BEAUPONT,1270,BEAUPONT,,46.4288360203,5.26003405676,29,,Beaupont,Beaupont,1,Ain,84,Auvergne-Rhône-Alpes
1030,BEAUREGARD,1480,BEAUREGARD,,46.0008580204,4.75600664694,30,,Beauregard,Beauregard,1,Ain,84,Auvergne-Rhône-Alpes
1031,BELLIGNAT,1100,BELLIGNAT,,46.2373497134,5.6360052884,31,,Bellignat,Bellignat,1,Ain,84,Auvergne-Rhône-Alpes
1032,BELIGNEUX,1360,BELIGNEUX,,45.8591464826,5.13989505865,32,,Béligneux,Béligneux,1,Ain,84,Auvergne-Rhône-Alpes
1032,BELIGNEUX,1360,BELIGNEUX,CAMP DE LA VALBONNE,45.8591464826,5.13989505865,32,,Béligneux,Béligneux,1,Ain,84,Auvergne-Rhône-Alpes
1032,BELIGNEUX,1360,BELIGNEUX,CHANES,45.8591464826,5.13989505865,32,,Béligneux,Béligneux,1,Ain,84,Auvergne-Rhône-Alpes
1032,BELIGNEUX,1360,BELIGNEUX,LA VALBONNE,45.8591464826,5.13989505865,32,,Béligneux,Béligneux,1,Ain,84,Auvergne-Rhône-Alpes
1033,BELLEGARDE SUR VALSERINE,1200,BELLEGARDE SUR VALSERINE,,46.1067901755,5.83202736464,33,,Bellegarde-sur-Valserine,Bellegarde-sur-Valserine,1,Ain,84,Auvergne-Rhône-Alpes
1034,BELLEY,1300,BELLEY,,45.7494697806,5.68412365526,34,,Belley,Belley,1,Ain,84,Auvergne-Rhône-Alpes
1035,BELLEYDOUX,1130,BELLEYDOUX,,46.2530316409,5.78471723698,35,,Belleydoux,Belleydoux,1,Ain,84,Auvergne-Rhône-Alpes
1036,BELMONT LUTHEZIEU,1260,BELMONT LUTHEZIEU,,45.8847475883,5.65115788055,36,,Belmont-Luthézieu,Belmont-Luthézieu,1,Ain,84,Auvergne-Rhône-Alpes
1036,BELMONT LUTHEZIEU,1260,BELMONT LUTHEZIEU,LUTHEZIEU,45.8847475883,5.65115788055,36,,Belmont-Luthézieu,Belmont-Luthézieu,1,Ain,84,Auvergne-Rhône-Alpes
1037,BENONCES,1470,BENONCES,,45.8374974718,5.48285330863,37,,Bénonces,Bénonces,1,Ain,84,Auvergne-Rhône-Alpes
1038,BENY,1370,BENY,,46.3188629218,5.28253433405,38,,Bény,Bény,1,Ain,84,Auvergne-Rhône-Alpes
1039,BEON,1350,BEON,,45.8568920052,5.75220315052,39,,Béon,Béon,1,Ain,84,Auvergne-Rhône-Alpes
1040,BEREZIAT,1340,BEREZIAT,,46.3674371012,5.04021655965,40,,Béréziat,Béréziat,1,Ain,84,Auvergne-Rhône-Alpes
1041,BETTANT,1500,BETTANT,,45.9368718303,5.36667617009,41,,Bettant,Bettant,1,Ain,84,Auvergne-Rhône-Alpes
1042,BEY,1290,BEY,,46.2191748844,4.84642690241,42,,Bey,Bey,1,Ain,84,Auvergne-Rhône-Alpes
1043,BEYNOST,1700,BEYNOST,,45.8390325448,4.99738002182,43,,Beynost,Beynost,1,Ain,84,Auvergne-Rhône-Alpes
1044,BILLIAT,1200,BILLIAT,,46.0791346715,5.76591818163,44,,Billiat,Billiat,1,Ain,84,Auvergne-Rhône-Alpes
1045,BIRIEUX,1330,BIRIEUX,,45.9533995502,5.03666479984,45,,Birieux,Birieux,1,Ain,84,Auvergne-Rhône-Alpes
1046,BIZIAT,1290,BIZIAT,,46.2266794269,4.94084673168,46,,Biziat,Biziat,1,Ain,84,Auvergne-Rhône-Alpes
